1	1	1
2	1	2
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
8	1	8
9	1	9
10	1	10
11	1	11
12	1	12
13	1	13
14	2	14
15	2	15
16	2	16
17	2	17
18	2	18
19	2	19
20	2	20
21	2	21
22	2	22
23	3	23
24	3	24
25	3	25
26	3	26
27	3	27
28	3	28
29	3	29
30	3	30
31	3	31
32	3	32
33	3	33
34	3	34
35	3	35
36	3	36
37	3	37
38	3	38
39	3	39
40	3	40
41	3	41
42	4	42
43	4	43
44	4	44
45	4	45
46	4	46
47	4	47
48	6	48
49	6	49
50	6	50
51	6	51
52	6	52
53	84	53
54	7	54
55	7	55
56	7	56
57	7	57
58	7	58
59	7	59
60	87	1732
61	7	61
62	7	62
63	7	63
64	7	64
65	7	65
66	7	66
67	7	67
68	7	68
69	7	69
70	7	70
71	8	71
72	8	72
73	8	73
74	8	74
75	8	75
76	8	76
77	8	77
78	8	78
79	8	79
80	8	80
81	8	81
82	9	82
83	9	83
84	9	84
85	9	85
86	9	86
87	9	87
88	9	88
89	9	89
90	9	90
91	9	91
92	9	92
93	9	93
94	9	94
95	9	95
96	9	96
97	9	97
98	9	98
99	9	99
100	10	100
101	10	101
102	10	102
103	10	103
104	10	104
105	10	105
106	84	106
107	10	107
108	10	108
109	10	109
110	10	110
111	10	111
112	82	112
113	10	113
114	10	114
115	10	115
116	10	116
117	10	117
118	11	118
119	11	119
120	11	120
121	11	121
122	11	122
123	12	123
124	12	124
125	12	125
126	12	126
127	12	127
128	12	128
129	12	129
130	12	130
131	12	131
132	13	132
133	13	133
134	13	134
135	13	135
136	13	136
137	13	137
138	13	138
139	13	139
140	14	140
141	14	141
142	14	142
143	14	143
144	14	144
145	14	145
146	14	146
147	14	147
148	14	148
149	14	149
150	15	150
151	15	151
152	15	152
153	15	153
154	15	154
155	15	155
156	15	156
157	15	157
158	15	158
159	15	159
160	15	160
161	15	161
162	15	162
163	15	163
164	15	164
165	15	165
166	15	166
167	7	167
170	1	168
